pe_num,cluster,csi_increase_4,csi_increase_5
15,Seoul,0.042335168,0.042132464
15,Gyeonggi-do,0.056681185,0.044955192
15,Incheon,0.053240608,0.043582654
15,Daejeon,0.048917207,0.043928247
15,Chungcheongbuk-do,0.050835628,0.047801971
15,Chungcheongnam-do,0.067175341,0.044974718
15,Gwangju,0.055336803,0.049140944
15,Jeollabuk-do,0.052813771,0.044414898
15,Jeollanam-do,0.054655793,0.042021383
15,Daegu,0.048585278,0.042840249
15,Gyeongsangbuk-do,0.054934926,0.047391046
15,Busan,0.053392702,0.052220102
15,Gyeongsangnam-do,0.050214892,0.048128367
15,Gangwon-do,0.056439219,0.038495109
15,Jeju-do,0.04865346,0.044427588
16,Seoul,0.043410752,0.032986111
16,Gyeonggi-do,0.041581892,0.031269076
16,Incheon,0.043579461,0.025785159
16,Daejeon,0.038239884,0.023438198
16,Chungcheongbuk-do,0.035993546,0.017626093
16,Chungcheongnam-do,0.035741587,0.021162826
16,Gwangju,0.036659528,0.021775848
16,Jeollabuk-do,0.038672132,0.019971684
16,Jeollanam-do,0.03407081,0.020150038
16,Daegu,0.0375856,0.024098939
16,Gyeongsangbuk-do,0.03508078,0.017636684
16,Busan,0.04115771,0.02560843
16,Gyeongsangnam-do,0.039099089,0.025182137
16,Gangwon-do,0.038159004,0.017979825
16,Jeju-do,0.029988502,0.028572291
17,Seoul,0.020663006,0.026209169
17,Gyeonggi-do,0.024406332,0.025060121
17,Incheon,0.023919722,0.023269221
17,Daejeon,0.025501319,0.02454556
17,Chungcheongbuk-do,0.022664817,0.027223751
17,Chungcheongnam-do,0.025582846,0.024957628
17,Gwangju,0.02241705,0.026076434
17,Jeollabuk-do,0.021833944,0.024548954
17,Jeollanam-do,0.020842001,0.024728525
17,Daegu,0.022833216,0.023621839
17,Gyeongsangbuk-do,0.023176749,0.024513543
17,Busan,0.022085756,0.024552709
17,Gyeongsangnam-do,0.021856826,0.024777276
17,Gangwon-do,0.022755032,0.02330019
17,Jeju-do,0.019251779,0.021332497
18,Seoul,0.038162561,0.024804325
18,Gyeonggi-do,0.038418876,0.02111916
18,Incheon,0.03416056,0.019841579
18,Daejeon,0.04483708,0.019948387
18,Chungcheongbuk-do,0.044077892,0.01963839
18,Chungcheongnam-do,0.041010073,0.023940324
18,Gwangju,0.040758033,0.017866984
18,Jeollabuk-do,0.04373639,0.021797378
18,Jeollanam-do,0.044747732,0.019848844
18,Daegu,0.041499959,0.024480094
18,Gyeongsangbuk-do,0.042582651,0.020138685
18,Busan,0.044570427,0.023936081
18,Gyeongsangnam-do,0.041526802,0.019758172
18,Gangwon-do,0.043336087,0.019343913
18,Jeju-do,0.042916966,0.012212166
19,Seoul,0.012540193,0.011802689
19,Gyeonggi-do,0.007401263,0.009394726
19,Incheon,0.009890016,0.008558463
19,Daejeon,0.001979908,0.006785296
19,Chungcheongbuk-do,-0.001543793,0.005679846
19,Chungcheongnam-do,0.002336086,0.006912369
19,Gwangju,0.00278827,0.009170461
19,Jeollabuk-do,-0.000294016,0.005388372
19,Jeollanam-do,-0.00033817,0.009419102
19,Daegu,0.007411831,0.010035569
19,Gyeongsangbuk-do,0.000386391,0.006858396
19,Busan,0.008381285,0.011834569
19,Gyeongsangnam-do,0.005280946,0.009419718
19,Gangwon-do,0.000371022,0.007852155
19,Jeju-do,0.006402993,0.012926319
20,Seoul,0.00621843,0.021
20,Gyeonggi-do,0.006076703,0.0257
20,Incheon,0.007841003,0.0262
20,Daejeon,0.003794343,0.025
20,Chungcheongbuk-do,0.005156453,0.0269
20,Chungcheongnam-do,0.006274625,0.02761
20,Gwangju,0.004379093,0.0257
20,Jeollabuk-do,0.005358561,0.0259
20,Jeollanam-do,0.007049345,0.0262
20,Daegu,0.002908434,0.0264
20,Gyeongsangbuk-do,0.001251564,0.0274
20,Busan,0.001763103,0.0246
20,Gyeongsangnam-do,0.005378776,0.0252
20,Gangwon-do,0.006198181,0.028
20,Jeju-do,0.004278225,0.0263